** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Khoitam          0.3659        0.1597       0.7858         0.7772       1.3259        0.5671       0.4199         0.3170
Rahung           0.4270        0.1809       0.7451         0.7562       1.3287        0.5653       0.4094         0.3202
Rupa             0.5000        0.2122       0.7277         0.7048       1.3306        0.5755       0.3965         0.3045
Shergaon         0.5183        0.2413       0.7109         0.6756       1.4169        0.6201       0.3719         0.2739
TOTAL            0.5880        0.2530       0.6854         0.6617       1.4159        0.5976       0.3733         0.2906


** /proj/evolang2022/tiago/ST2022/data-surprise/bodtkhobwa/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Duhumbi          0.8682        0.3563       0.5249         0.5376       1.6940        0.6713       0.2705         0.2202
Jerigaon         0.6123        0.2738       0.6801         0.6451       1.4292        0.6107       0.3352         0.2921
Khispi           0.7816        0.3179       0.5652         0.5838       1.6402        0.6502       0.2799         0.2452
Khoina           0.6912        0.3076       0.6386         0.6031       1.4885        0.6223       0.3180         0.2819
Khoitam          0.3834        0.1670       0.7691         0.7753       1.3848        0.5955       0.3575         0.2915
Rahung           0.4176        0.1781       0.7459         0.7663       1.3679        0.5952       0.3409         0.3001
Rupa             0.5533        0.2300       0.7001         0.6902       1.4156        0.6010       0.3376         0.2851
Shergaon         0.6619        0.2924       0.6435         0.6161       1.5721        0.6571       0.2982         0.2393
TOTAL            0.6212        0.2654       0.6584         0.6522       1.4990        0.6254       0.3172         0.2694


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.3000        0.4395       0.6394         0.3691       2.6500        0.5085       0.4812         0.3311
Fadashi             1.0500        0.1880       0.7893         0.6979       2.2000        0.4349       0.5879         0.4191
Maiyu               1.7500        0.3449       0.7427         0.4668       2.2000        0.4331       0.6045         0.3958
Undulu              1.8000        0.3333       0.7036         0.4714       2.6000        0.4752       0.5203         0.3584
TOTAL               1.7250        0.3264       0.7187         0.5013       2.4125        0.4629       0.5485         0.3761


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.1220        0.4103       0.6285         0.3820       3.0976        0.5987       0.4028         0.2449
Fadashi             1.1951        0.2276       0.7271         0.6347       2.4878        0.4961       0.4717         0.3604
Maiyu               1.9512        0.3707       0.6594         0.4440       2.6341        0.5321       0.4471         0.3119
Undulu              1.4390        0.2701       0.6773         0.5699       2.9756        0.5644       0.3931         0.2790
TOTAL               1.6768        0.3197       0.6731         0.5076       2.7988        0.5478       0.4287         0.2991


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.5738        0.4784       0.5585         0.3197       3.3279        0.6210       0.3277         0.2341
Fadashi             1.2787        0.2395       0.6877         0.6282       2.7705        0.5424       0.3749         0.2688
Maiyu               1.9667        0.3707       0.6084         0.4389       2.5000        0.4976       0.4503         0.3061
Undulu              1.5246        0.2857       0.6650         0.5704       3.3115        0.6443       0.3243         0.2007
TOTAL               1.8359        0.3436       0.6299         0.4893       2.9775        0.5763       0.3693         0.2524


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       2.9306        0.5453       0.4996         0.2776       3.7639        0.6990       0.2634         0.1572
Fadashi             1.7927        0.3205       0.6133         0.5165       3.4878        0.6485       0.2765         0.1932
Maiyu               2.4935        0.4490       0.5476         0.3560       3.0779        0.5858       0.3723         0.2315
Undulu              2.0533        0.3824       0.6049         0.4151       3.3200        0.6111       0.3010         0.2210
TOTAL               2.3175        0.4243       0.5664         0.3913       3.4124        0.6361       0.3033         0.2008


** /proj/evolang2022/tiago/ST2022/data-surprise/bremerberta/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BelejeGonfoye       3.0482        0.5612       0.4723         0.2748       3.8675        0.7289       0.2452         0.1550
Fadashi             2.0000        0.3658       0.5641         0.4603       3.3838        0.6266       0.3273         0.1933
Maiyu               2.7204        0.5011       0.5252         0.2915       3.1720        0.5938       0.3490         0.2257
Undulu              2.3407        0.4412       0.5702         0.3411       3.4286        0.6308       0.2756         0.2218
TOTAL               2.5273        0.4673       0.5329         0.3419       3.4630        0.6450       0.2993         0.1989


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              0.9000        0.3667       0.7688         0.4858       1.4500        0.5583       0.6290         0.3269
ChaYeQing           1.1000        0.4583       0.7239         0.4133       1.5500        0.6333       0.6227         0.2597
ChuDongGua          1.4000        0.5208       0.6711         0.3128       1.7500        0.6833       0.5509         0.2097
GuangKa             0.8000        0.3250       0.8347         0.5633       1.4000        0.5750       0.6551         0.2977
HtanHsan            1.1500        0.4500       0.7803         0.4013       1.7500        0.6542       0.5719         0.2054
KhunHawt            1.2500        0.4750       0.7387         0.3666       1.5500        0.6000       0.5540         0.2669
MangBang            0.8500        0.3250       0.7707         0.5674       1.6500        0.6583       0.5322         0.2175
ManLoi              1.2000        0.4750       0.7309         0.3692       1.7000        0.7000       0.5698         0.2048
MengDan             1.2500        0.4542       0.7019         0.3985       1.6500        0.6167       0.5628         0.2826
NamHsan             1.2000        0.4583       0.7398         0.4133       1.6500        0.6333       0.5961         0.2597
NanSang             0.6500        0.2583       0.8427         0.6559       1.5500        0.5833       0.4940         0.2743
NoeLae              0.8500        0.3500       0.8085         0.4973       1.3500        0.5250       0.5767         0.3477
NyaungGone          0.9500        0.3917       0.8098         0.4707       1.5000        0.5917       0.5813         0.2862
PangKham            1.0500        0.3917       0.7515         0.4862       1.5000        0.5625       0.5663         0.3028
PongNuea            1.2000        0.4917       0.7803         0.3551       1.6000        0.6333       0.5542         0.2441
XiangZhaiTang       1.4000        0.5333       0.7021         0.3013       1.5500        0.6000       0.5397         0.2628
TOTAL               1.0750        0.4203       0.7597         0.4411       1.5719        0.6130       0.5723         0.2656


** /proj/evolang2022/tiago/ST2022/data-surprise/deepadungpalaung/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
BanPaw              1.1538        0.4252       0.6937         0.4543       1.6410        0.5735       0.4887         0.2807
ChaYeQing           1.5385        0.5620       0.5867         0.3004       2.1282        0.7479       0.4030         0.1645
ChuDongGua          1.4872        0.5436       0.6228         0.2993       2.0000        0.7239       0.4542         0.1593
GuangKa             1.2051        0.4402       0.7004         0.4133       1.9744        0.6859       0.4201         0.2305
HtanHsan            1.5128        0.5278       0.5836         0.3526       2.0513        0.7188       0.4251         0.1534
KhunHawt            1.5641        0.5534       0.5850         0.3039       2.0769        0.7368       0.4549         0.1593
MangBang            1.1538        0.4209       0.6691         0.4412       1.9744        0.6970       0.4585         0.1960
ManLoi              1.2564        0.4701       0.7078         0.3772       2.1282        0.7312       0.4369         0.1673
MengDan             1.4872        0.5325       0.6588         0.3430       1.9231        0.6491       0.4182         0.2444
NamHsan             1.3846        0.5073       0.6458         0.3522       2.0000        0.7026       0.4580         0.1655
NanSang             1.0513        0.3803       0.7303         0.5048       2.1538        0.7457       0.4072         0.1636
NoeLae              1.0513        0.3910       0.7297         0.4778       1.8462        0.6632       0.4677         0.1974
NyaungGone          1.1026        0.4124       0.7285         0.4439       1.8205        0.6385       0.4431         0.2294
PangKham            1.0769        0.3889       0.7394         0.4728       1.5641        0.5534       0.5229         0.3183
PongNuea            1.3077        0.4936       0.6955         0.3590       1.6923        0.5863       0.4741         0.2857
XiangZhaiTang       1.5128        0.5628       0.6664         0.2835       1.8718        0.6556       0.4343         0.2053
TOTAL               1.3029        0.4757       0.6715         0.3862       1.9279        0.6756       0.4479         0.2076


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.10.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.3500        0.0671       0.9104         0.8836       1.7500        0.3623       0.5681         0.4594
MonpaDirang          0.3750        0.0672       0.8959         0.8821       1.4500        0.3187       0.6187         0.5082
MonpaDirangDum       0.4250        0.0811       0.9013         0.8677       1.5500        0.3283       0.6004         0.4896
MonpaKalaktang       1.3000        0.2974       0.8881         0.4942       1.6000        0.3461       0.5700         0.4749
MonpaNamsu           0.2000        0.0430       0.9535         0.9265       1.4000        0.3086       0.6242         0.5126
MonpaSangti          0.4500        0.0794       0.8736         0.8671       1.6500        0.3465       0.5581         0.4776
MonpaTembang         1.0000        0.2398       0.9105         0.6031       1.5000        0.3381       0.6013         0.4743
MonpaTomko           0.3000        0.0623       0.9369         0.8866       1.6000        0.3348       0.6064         0.4762
TOTAL                0.5500        0.1172       0.9088         0.8014       1.5625        0.3354       0.5934         0.4841


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.20.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.5802        0.1080       0.8299         0.8265       2.2099        0.4839       0.4284         0.3205
MonpaDirang          0.3951        0.0738       0.8752         0.8711       2.1481        0.4716       0.4554         0.3321
MonpaDirangDum       0.8025        0.1433       0.7771         0.7739       2.2099        0.4924       0.4566         0.3353
MonpaKalaktang       1.7284        0.3586       0.7134         0.4403       2.3580        0.5085       0.4246         0.3184
MonpaNamsu           0.3951        0.0797       0.8904         0.8609       1.9506        0.4467       0.4963         0.3871
MonpaSangti          0.7901        0.1495       0.8105         0.7719       2.1605        0.4848       0.4416         0.3333
MonpaTembang         1.5062        0.3183       0.7912         0.5076       2.1111        0.4701       0.4395         0.3608
MonpaTomko           0.6049        0.1074       0.8314         0.8195       2.0370        0.4546       0.4624         0.3701
TOTAL                0.8503        0.1673       0.8149         0.7340       2.1481        0.4766       0.4506         0.3447


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.30.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.6446        0.1155       0.7972         0.8167       2.4793        0.5250       0.3840         0.2962
MonpaDirang          0.4298        0.0801       0.8664         0.8627       2.3471        0.4900       0.4001         0.3370
MonpaDirangDum       0.9587        0.1694       0.7437         0.7449       2.3967        0.5169       0.3949         0.3071
MonpaKalaktang       1.6446        0.3406       0.7131         0.5022       2.6364        0.5435       0.3650         0.2734
MonpaNamsu           0.5950        0.1003       0.8314         0.8385       2.3058        0.4868       0.3922         0.3346
MonpaSangti          0.5289        0.0969       0.8251         0.8456       2.4711        0.5003       0.3619         0.3256
MonpaTembang         1.1653        0.2495       0.8163         0.6068       2.5041        0.5303       0.3644         0.2980
MonpaTomko           0.6198        0.1211       0.8148         0.8020       2.3058        0.4774       0.4094         0.3355
TOTAL                0.8233        0.1592       0.8010         0.7524       2.4308        0.5088       0.3840         0.3134


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.40.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          0.8038        0.1569       0.7651         0.7294       2.9241        0.6386       0.2894         0.1798
MonpaDirang          0.4873        0.0938       0.8524         0.8450       2.6962        0.5923       0.3472         0.2362
MonpaDirangDum       0.8442        0.1603       0.7523         0.7448       2.6818        0.6035       0.3202         0.2368
MonpaKalaktang       1.7230        0.3516       0.6691         0.4920       3.0541        0.6472       0.2769         0.1972
MonpaNamsu           0.6242        0.1066       0.8169         0.8315       2.5287        0.5428       0.3431         0.2872
MonpaSangti          0.6415        0.1158       0.7993         0.8150       2.6541        0.5748       0.3105         0.2524
MonpaTembang         1.3290        0.2819       0.7728         0.5601       2.6387        0.5519       0.3302         0.2747
MonpaTomko           0.7756        0.1584       0.7928         0.7313       2.8974        0.6006       0.3232         0.2237
TOTAL                0.9036        0.1782       0.7776         0.7186       2.7594        0.5940       0.3176         0.2360


** /proj/evolang2022/tiago/ST2022/data/abrahammonpa/solutions-0.50.tsv
Language          ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
--------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
MonpaBalemu          1.1453        0.2223       0.7112         0.6348       3.3911        0.7008       0.2501         0.1444
MonpaDirang          0.8115        0.1507       0.8050         0.7653       3.2251        0.6481       0.2529         0.1877
MonpaDirangDum       0.9516        0.1840       0.7407         0.7097       3.2634        0.6790       0.2553         0.1555
MonpaKalaktang       1.2393        0.2340       0.6768         0.6320       3.4479        0.6758       0.2701         0.1677
MonpaNamsu           0.5736        0.1051       0.8197         0.8329       3.2284        0.6843       0.2390         0.1553
MonpaSangti          0.6263        0.1152       0.8092         0.8145       3.0737        0.6415       0.2670         0.1727
MonpaTembang         1.2042        0.2194       0.7244         0.6575       3.2932        0.6652       0.2541         0.1864
MonpaTomko           0.9106        0.1804       0.7658         0.7000       3.3520        0.6643       0.2732         0.1578
TOTAL                0.9328        0.1764       0.7566         0.7183       3.2843        0.6699       0.2577         0.1660


** /proj/evolang2022/tiago/ST2022/data/allenbai/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Eryuan           0.3402        0.1134       0.8772         0.8249       0.9485        0.3127       0.6163         0.5606
Heqing           0.7629        0.2448       0.7698         0.6516       1.0412        0.3359       0.6314         0.5228
Jianchuan        0.4227        0.1409       0.8269         0.7915       0.9072        0.2981       0.6319         0.5864
Lanping          1.2165        0.3892       0.6569         0.4739       1.3093        0.4227       0.5537         0.4367
Luobenzhuo       1.6701        0.5541       0.5200         0.3313       1.7526        0.5739       0.4617         0.2995
Qiliqiao         0.3711        0.1168       0.8530         0.8192       0.8969        0.2852       0.6256         0.5979
Xiangyun         0.5979        0.1907       0.7663         0.7273       1.0928        0.3557       0.6043         0.5120
Yunlong          0.7010        0.2311       0.7677         0.6729       1.0928        0.3608       0.5733         0.4956
Zhoucheng        0.4021        0.1314       0.8456         0.8060       1.0206        0.3316       0.5999         0.5395
TOTAL            0.7205        0.2347       0.7648         0.6776       1.1180        0.3641       0.5887         0.5057


** /proj/evolang2022/tiago/ST2022/data/allenbai/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Eryuan           0.3247        0.1074       0.8570         0.8348       1.3608        0.4493       0.4911         0.4076
Heqing           0.7010        0.2234       0.7490         0.6815       1.5000        0.4716       0.5009         0.4067
Jianchuan        0.3454        0.1151       0.8347         0.8281       1.2320        0.4055       0.5188         0.4633
Lanping          1.0670        0.3385       0.6292         0.5223       1.5464        0.4871       0.4800         0.3684
Luobenzhuo       1.7010        0.5580       0.4683         0.3210       1.9794        0.6469       0.3616         0.2325
Qiliqiao         0.5258        0.1662       0.7823         0.7528       1.3299        0.4219       0.5051         0.4554
Xiangyun         0.6701        0.2191       0.7154         0.6846       1.5206        0.5004       0.4556         0.3601
Yunlong          0.5412        0.1796       0.7725         0.7488       1.4536        0.4794       0.4514         0.3894
Zhoucheng        0.3247        0.1061       0.8563         0.8421       1.2062        0.3930       0.5233         0.4875
TOTAL            0.6890        0.2237       0.7405         0.6907       1.4588        0.4728       0.4764         0.3968


** /proj/evolang2022/tiago/ST2022/data/allenbai/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Eryuan           0.3024        0.1002       0.8635         0.8480       1.5533        0.5097       0.4020         0.3510
Heqing           0.6690        0.2108       0.7451         0.7016       1.5087        0.4742       0.4577         0.3931
Jianchuan        0.3368        0.1111       0.8380         0.8288       1.4192        0.4613       0.4593         0.4037
Lanping          0.9757        0.3134       0.6256         0.5671       1.5590        0.4962       0.4322         0.3649
Luobenzhuo       1.5804        0.5167       0.4643         0.3536       2.2196        0.7196       0.2978         0.1803
Qiliqiao         0.5417        0.1716       0.7885         0.7408       1.3681        0.4413       0.4466         0.4291
Xiangyun         0.7430        0.2433       0.6753         0.6523       1.6056        0.5150       0.3871         0.3480
Yunlong          0.6551        0.2102       0.7231         0.7046       1.5017        0.4887       0.4323         0.3661
Zhoucheng        0.3608        0.1174       0.8290         0.8233       1.3677        0.4447       0.4447         0.4371
TOTAL            0.6850        0.2216       0.7281         0.6911       1.5670        0.5056       0.4177         0.3637


** /proj/evolang2022/tiago/ST2022/data/allenbai/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Eryuan           0.3714        0.1210       0.8542         0.8124       1.6935        0.5513       0.3773         0.3084
Heqing           0.7292        0.2303       0.7399         0.6674       1.8464        0.5753       0.3718         0.2896
Jianchuan        0.3608        0.1181       0.8277         0.8184       1.6366        0.5294       0.4038         0.3367
Lanping          0.9635        0.3038       0.6324         0.5708       1.8906        0.5948       0.3595         0.2775
Luobenzhuo       1.5649        0.5132       0.4794         0.3586       2.2807        0.7418       0.2819         0.1675
Qiliqiao         0.4763        0.1504       0.7943         0.7757       1.6211        0.5184       0.3886         0.3422
Xiangyun         0.7601        0.2475       0.6733         0.6478       1.9784        0.6287       0.3335         0.2613
Yunlong          0.6247        0.1971       0.7377         0.7187       1.8097        0.5851       0.3567         0.2852
Zhoucheng        0.3814        0.1246       0.8208         0.8120       1.6830        0.5417       0.3764         0.3202
TOTAL            0.6925        0.2229       0.7289         0.6869       1.8267        0.5852       0.3611         0.2876


** /proj/evolang2022/tiago/ST2022/data/allenbai/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Eryuan           0.4063        0.1318       0.8355         0.7975       2.1221        0.6846       0.2976         0.2092
Heqing           0.7358        0.2315       0.7229         0.6746       2.1216        0.6656       0.3104         0.2245
Jianchuan        0.4021        0.1335       0.8175         0.7980       1.8854        0.6036       0.3356         0.2713
Lanping          0.9914        0.3151       0.6137         0.5541       2.1245        0.6699       0.3014         0.2208
Luobenzhuo       1.6262        0.5345       0.4756         0.3376       2.4393        0.7596       0.2819         0.1560
Qiliqiao         0.4363        0.1375       0.7979         0.7950       2.0130        0.6436       0.3203         0.2480
Xiangyun         0.9226        0.3020       0.6295         0.5974       2.1822        0.6989       0.2609         0.1979
Yunlong          0.7305        0.2361       0.6995         0.6630       2.0980        0.6637       0.2716         0.2239
Zhoucheng        0.5966        0.1920       0.7622         0.7183       2.0913        0.6697       0.3016         0.2113
TOTAL            0.7609        0.2460       0.7060         0.6595       2.1197        0.6733       0.2979         0.2181


** /proj/evolang2022/tiago/ST2022/data/backstromnorthernpakistan/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ChorbatBalti        0.7600        0.1480       0.8439         0.7667       2.1600        0.4684       0.5869         0.3123
KhapaluBalti        0.9600        0.1850       0.8139         0.7203       2.1200        0.4494       0.5754         0.3557
KharmangBalti       0.6800        0.1540       0.9056         0.7472       1.7600        0.3837       0.6438         0.4391
RonduBalti          0.6400        0.1204       0.9039         0.8132       1.6400        0.3641       0.6483         0.4621
ShigarBalti         0.8000        0.1728       0.8726         0.7277       1.9200        0.4200       0.5956         0.4116
SkarduBalti         0.6000        0.1133       0.9155         0.8151       1.6000        0.3461       0.6581         0.4867
SkarduPurki         1.8000        0.3641       0.7495         0.4532       1.9200        0.4370       0.6026         0.3871
TOTAL               0.8914        0.1797       0.8578         0.7205       1.8743        0.4098       0.6158         0.4078


** /proj/evolang2022/tiago/ST2022/data/backstromnorthernpakistan/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ChorbatBalti        0.7200        0.1517       0.8270         0.7471       1.9000        0.4354       0.5320         0.3374
KhapaluBalti        0.7200        0.1529       0.8255         0.7475       2.1200        0.4824       0.4856         0.3062
KharmangBalti       0.4800        0.1100       0.8858         0.8260       2.0600        0.4840       0.5180         0.3037
RonduBalti          1.0600        0.2210       0.8252         0.6572       2.0800        0.4964       0.5008         0.2940
ShigarBalti         0.8200        0.1780       0.8003         0.7198       1.7600        0.4181       0.5771         0.3993
SkarduBalti         0.6200        0.1303       0.8679         0.7943       2.0600        0.4851       0.5417         0.3199
SkarduPurki         1.2800        0.2767       0.7386         0.5737       2.0600        0.4771       0.4983         0.3304
TOTAL               0.8143        0.1744       0.8243         0.7237       2.0057        0.4684       0.5219         0.3273


** /proj/evolang2022/tiago/ST2022/data/backstromnorthernpakistan/solutions-0.30.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ChorbatBalti        0.7703        0.1770       0.8077         0.7120       2.3919        0.5669       0.4101         0.2381
KhapaluBalti        0.8108        0.1838       0.7988         0.6948       2.3649        0.5536       0.4209         0.2463
KharmangBalti       0.7162        0.1815       0.8312         0.7225       2.3108        0.5413       0.4200         0.2740
RonduBalti          1.0811        0.2325       0.8069         0.6362       2.2973        0.5299       0.4528         0.2651
ShigarBalti         0.7568        0.1753       0.8133         0.7250       2.2973        0.5418       0.4412         0.2801
SkarduBalti         0.5946        0.1327       0.8692         0.7845       2.2162        0.5212       0.4519         0.2891
SkarduPurki         1.3784        0.3121       0.7374         0.5329       2.6081        0.6000       0.3824         0.2308
TOTAL               0.8726        0.1993       0.8092         0.6868       2.3552        0.5507       0.4256         0.2605


** /proj/evolang2022/tiago/ST2022/data/backstromnorthernpakistan/solutions-0.40.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ChorbatBalti        0.8586        0.1863       0.7822         0.7092       2.5960        0.5907       0.3801         0.2343
KhapaluBalti        0.8283        0.1857       0.7934         0.6952       2.7475        0.6234       0.3646         0.2014
KharmangBalti       0.6667        0.1516       0.8183         0.7683       2.5758        0.5799       0.3843         0.2414
RonduBalti          1.0404        0.2193       0.7726         0.6603       2.5051        0.5697       0.3764         0.2766
ShigarBalti         0.7677        0.1712       0.8094         0.7246       2.5253        0.5835       0.3821         0.2609
SkarduBalti         0.5354        0.1213       0.8634         0.8008       2.4747        0.5714       0.3781         0.2709
SkarduPurki         1.6061        0.3483       0.6999         0.4834       2.9495        0.6574       0.3208         0.1733
TOTAL               0.9004        0.1977       0.7913         0.6917       2.6248        0.5966       0.3695         0.2370


** /proj/evolang2022/tiago/ST2022/data/backstromnorthernpakistan/solutions-0.50.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ChorbatBalti        0.8871        0.1943       0.7604         0.7026       3.0242        0.6889       0.2848         0.1655
KhapaluBalti        0.9274        0.2141       0.7674         0.6634       2.7903        0.6503       0.3196         0.2007
KharmangBalti       0.8387        0.1986       0.7840         0.6962       2.7661        0.6513       0.3354         0.1930
RonduBalti          1.2339        0.2720       0.7396         0.5873       2.7581        0.6458       0.3413         0.2058
ShigarBalti         0.7258        0.1645       0.8193         0.7367       2.6694        0.6236       0.3495         0.2124
SkarduBalti         0.6452        0.1518       0.8505         0.7545       2.6532        0.6302       0.3571         0.2299
SkarduPurki         1.5242        0.3454       0.6811         0.4898       3.0645        0.6971       0.2895         0.1702
TOTAL               0.9689        0.2201       0.7718         0.6615       2.8180        0.6553       0.3253         0.1968


** /proj/evolang2022/tiago/ST2022/data/castrosui/solutions-0.10.tsv
Language                  ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AntangWesternSandong         0.1714        0.0432       0.9571         0.9328       0.9429        0.2449       0.7230         0.6311
BanliangYangAn               0.2762        0.0671       0.9167         0.8902       0.8571        0.2206       0.7274         0.6623
DujiangEasternSandong        0.0381        0.0106       0.9922         0.9819       0.8476        0.2217       0.7312         0.6522
JiaoliPandong                0.3714        0.0914       0.8799         0.8491       0.9810        0.2489       0.6950         0.6254
JiarongSouthernSandong       0.1810        0.0476       0.9440         0.9237       0.9810        0.2527       0.7045         0.6099
JiuqianSouthernSandong       0.1048        0.0251       0.9633         0.9566       0.9619        0.2530       0.7101         0.6243
Pandong                      0.3524        0.0814       0.8762         0.8718       0.9048        0.2290       0.7048         0.6593
RenliEasternSandong          0.1048        0.0227       0.9691         0.9629       0.8667        0.2216       0.7235         0.6515
SanjiangEasternSandong       0.0571        0.0144       0.9880         0.9765       0.8190        0.2125       0.7419         0.6683
ShuigenCentralSandong        0.0762        0.0192       0.9797         0.9684       0.8762        0.2298       0.7316         0.6417
ShuiweiSouthernSandong       0.1048        0.0273       0.9632         0.9573       1.0000        0.2624       0.6974         0.6123
ShuiyaoSouthernSandong       0.2190        0.0548       0.9321         0.9093       0.9524        0.2454       0.7158         0.6259
TangnianYangAn               0.2190        0.0519       0.9308         0.9180       0.8857        0.2260       0.7182         0.6497
